2023-09-28 11:07:23.740 [main] INFO  c.d.DocuItServiceApplication - Starting DocuItServiceApplication using Java 17.0.4.1 with PID 11400 (D:\6.DockIt_Service_Project\DocuIt_Bug_Fixing_Branch\Bug_Fix_13Sep2013\docuitservice\target\classes started by 91637 in D:\6.DockIt_Service_Project\DocuIt_Bug_Fixing_Branch\Bug_Fix_13Sep2013\docuitservice)
2023-09-28 11:07:23.746 [main] INFO  c.d.DocuItServiceApplication - No active profile set, falling back to 1 default profile: "default"
2023-09-28 11:07:25.036 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-09-28 11:07:25.253 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 198 ms. Found 6 JPA repository interfaces.
2023-09-28 11:07:26.342 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2023-09-28 11:07:26.353 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-09-28 11:07:26.354 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.11]
2023-09-28 11:07:26.561 [main] INFO  o.a.c.c.C.[.[.[/dockitservice] - Initializing Spring embedded WebApplicationContext
2023-09-28 11:07:26.562 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2758 ms
2023-09-28 11:07:26.910 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2023-09-28 11:07:26.978 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.1.7.Final
2023-09-28 11:07:27.481 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-09-28 11:07:27.771 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@67593f7b
2023-09-28 11:07:27.778 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-09-28 11:07:27.895 [main] INFO  SQL dialect - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQLDialect
2023-09-28 11:07:29.721 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-09-28 11:07:29.751 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-09-28 11:07:30.291 [main] WARN  o.s.c.LocalVariableTableParameterNameDiscoverer - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: com.docuitservice.repository.UserRepository
2023-09-28 11:07:31.072 [main] WARN  o.s.c.LocalVariableTableParameterNameDiscoverer - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: com.docuitservice.repository.CategoryRepository
